"student","Name","java.lang.String","false","null","null","A","zzzzzzzzz"
"student","ID","java.lang.Integer","true","null","null","0","1000"
"student","GPA","java.lang.Double","false","null","null","0.0","5.0"
"aa237458278","age","java.lang.Integer","false","null","null","1","100"
"aa237458278","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa237458278","id","java.lang.Integer","true","null","null","0","10000"
"aa691589756","age","java.lang.Integer","false","null","null","1","100"
"aa691589756","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa691589756","id","java.lang.Integer","true","null","null","0","10000"
"aa2508461116","age","java.lang.Integer","false","null","null","1","100"
"aa2508461116","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2508461116","id","java.lang.Integer","true","null","null","0","10000"
"aa9616389740","age","java.lang.Integer","false","null","null","1","100"
"aa9616389740","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa9616389740","id","java.lang.Integer","true","null","null","0","10000"
"aa1232264949","age","java.lang.Integer","false","null","null","1","100"
"aa1232264949","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1232264949","id","java.lang.Integer","true","null","null","0","10000"
"aa2403254017","age","java.lang.Integer","false","idagename","Octree","1","100"
"aa2403254017","name","java.lang.String","false","idagename","Octree","aaaaa","zzzzz"
"aa2403254017","id","java.lang.Integer","true","idagename","Octree","0","10000"
"aa637244332","age","java.lang.Integer","false","agenameid","Octree","1","100"
"aa637244332","name","java.lang.String","false","agenameid","Octree","aaaaa","zzzzz"
"aa637244332","id","java.lang.Integer","true","agenameid","Octree","0","10000"
"aa2846987998","age","java.lang.Integer","false","null","null","1","100"
"aa2846987998","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2846987998","id","java.lang.Integer","true","null","null","0","10000"
"aa5269928027","age","java.lang.Integer","false","null","null","1","100"
"aa5269928027","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5269928027","id","java.lang.Integer","true","null","null","0","10000"
"aa1858489437","age","java.lang.Integer","false","null","null","1","100"
"aa1858489437","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1858489437","id","java.lang.Integer","true","null","null","0","10000"
"aa8835139190","age","java.lang.Integer","false","agenameid","Octree","1","100"
"aa8835139190","name","java.lang.String","false","agenameid","Octree","aaaaa","zzzzz"
"aa8835139190","id","java.lang.Integer","true","agenameid","Octree","0","10000"
"aa2243057667","age","java.lang.Integer","false","null","null","1","100"
"aa2243057667","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2243057667","id","java.lang.Integer","true","null","null","0","10000"
"aa9435824441","age","java.lang.Integer","false","null","null","1","100"
"aa9435824441","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa9435824441","id","java.lang.Integer","true","null","null","0","10000"
"aa1605632302","age","java.lang.Integer","false","agenameid","Octree","1","100"
"aa1605632302","name","java.lang.String","false","agenameid","Octree","aaaaa","zzzzz"
"aa1605632302","id","java.lang.Integer","true","agenameid","Octree","0","10000"
"aa2297187161","age","java.lang.Integer","false","null","null","1","100"
"aa2297187161","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2297187161","id","java.lang.Integer","true","null","null","0","10000"
"aa2912885490","age","java.lang.Integer","false","null","null","1","100"
"aa2912885490","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2912885490","id","java.lang.Integer","true","null","null","0","10000"
"aa7787884849","age","java.lang.Integer","false","null","null","1","100"
"aa7787884849","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7787884849","id","java.lang.Integer","true","null","null","0","10000"
"aa7979982830","age","java.lang.Integer","false","null","null","1","100"
"aa7979982830","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7979982830","id","java.lang.Integer","true","null","null","0","10000"
"aa2833732982","age","java.lang.Integer","false","idagename","Octree","1","100"
"aa2833732982","name","java.lang.String","false","idagename","Octree","aaaaa","zzzzz"
"aa2833732982","id","java.lang.Integer","true","idagename","Octree","0","10000"
"aa1429067232","age","java.lang.Integer","false","null","null","1","100"
"aa1429067232","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1429067232","id","java.lang.Integer","true","null","null","0","10000"
"aa5884878509","age","java.lang.Integer","false","null","null","1","100"
"aa5884878509","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5884878509","id","java.lang.Integer","true","null","null","0","10000"
"aa5247787274","age","java.lang.Integer","false","null","null","1","100"
"aa5247787274","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5247787274","id","java.lang.Integer","true","null","null","0","10000"
"aa1351865001","age","java.lang.Integer","false","null","null","1","100"
"aa1351865001","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1351865001","id","java.lang.Integer","true","null","null","0","10000"
"aa6983787033","age","java.lang.Integer","false","null","null","1","100"
"aa6983787033","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6983787033","id","java.lang.Integer","true","null","null","0","10000"
"aa623898410","age","java.lang.Integer","false","null","null","1","100"
"aa623898410","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa623898410","id","java.lang.Integer","true","null","null","0","10000"
"aa7818697891","age","java.lang.Integer","false","agenameid","Octree","1","100"
"aa7818697891","name","java.lang.String","false","agenameid","Octree","aaaaa","zzzzz"
"aa7818697891","id","java.lang.Integer","true","agenameid","Octree","0","10000"
"aa3815777530","age","java.lang.Integer","false","null","null","1","100"
"aa3815777530","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa3815777530","id","java.lang.Integer","true","null","null","0","10000"
"aa292824488","age","java.lang.Integer","false","null","null","1","100"
"aa292824488","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa292824488","id","java.lang.Integer","true","null","null","0","10000"
"aa6604726427","age","java.lang.Integer","false","idagename","Octree","1","100"
"aa6604726427","name","java.lang.String","false","idagename","Octree","aaaaa","zzzzz"
"aa6604726427","id","java.lang.Integer","true","idagename","Octree","0","10000"
"aa9289796772","age","java.lang.Integer","false","null","null","1","100"
"aa9289796772","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa9289796772","id","java.lang.Integer","true","null","null","0","10000"
"aa3703857499","age","java.lang.Integer","false","null","null","1","100"
"aa3703857499","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa3703857499","id","java.lang.Integer","true","null","null","0","10000"
"aa4039267994","age","java.lang.Integer","false","null","null","1","100"
"aa4039267994","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa4039267994","id","java.lang.Integer","true","null","null","0","10000"
"aa552043270","age","java.lang.Integer","false","null","null","1","100"
"aa552043270","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa552043270","id","java.lang.Integer","true","null","null","0","10000"
"aa3360574572","age","java.lang.Integer","false","null","null","1","100"
"aa3360574572","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa3360574572","id","java.lang.Integer","true","null","null","0","10000"
"aa236262636","age","java.lang.Integer","false","null","null","1","100"
"aa236262636","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa236262636","id","java.lang.Integer","true","null","null","0","10000"
"aa1144137855","age","java.lang.Integer","false","null","null","1","100"
"aa1144137855","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1144137855","id","java.lang.Integer","true","null","null","0","10000"
"aa2014812984","age","java.lang.Integer","false","null","null","1","100"
"aa2014812984","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2014812984","id","java.lang.Integer","true","null","null","0","10000"
"aa4156980138","age","java.lang.Integer","false","null","null","1","100"
"aa4156980138","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa4156980138","id","java.lang.Integer","true","null","null","0","10000"
"aa5419643483","age","java.lang.Integer","false","null","null","1","100"
"aa5419643483","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5419643483","id","java.lang.Integer","true","null","null","0","10000"
"aa9654947691","age","java.lang.Integer","false","null","null","1","100"
"aa9654947691","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa9654947691","id","java.lang.Integer","true","null","null","0","10000"
"aa8893316782","age","java.lang.Integer","false","null","null","1","100"
"aa8893316782","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa8893316782","id","java.lang.Integer","true","null","null","0","10000"
"aa6005382062","age","java.lang.Integer","false","idagename","Octree","1","100"
"aa6005382062","name","java.lang.String","false","idagename","Octree","aaaaa","zzzzz"
"aa6005382062","id","java.lang.Integer","true","idagename","Octree","0","10000"
"aa5921966482","age","java.lang.Integer","false","null","null","1","100"
